弹幕时间,弹幕内容
2021-12-19 12:33:00,大合唱
2021-12-19 12:32:25,修辞手法
2021-12-19 12:29:02,企业级理解
2021-12-19 11:47:02,史上最强辅助上线
2021-12-19 11:40:32,太有魅力
2021-12-19 09:57:20,翻译讲究信达雅
2021-12-19 01:36:39,十个害怕九个笑，还有一个在狂笑
2021-12-19 00:22:15,太可怕了
2021-12-18 23:59:02,震惊鬼子一辈子
2021-12-18 23:57:47,死拉死拉滴
2021-12-18 23:57:30,那你唱
2021-12-18 23:57:12,太麻烦！
2021-12-18 23:56:52,太有魅力！
2021-12-18 23:55:15,呼唤诸葛孔明
2021-12-18 23:54:31,完美！
2021-12-18 23:53:37,文艺汇演站位
2021-12-18 23:52:50,智慧的眼神
2021-12-18 23:51:31,木饼，能弹的饼，你值得拥有
2021-12-18 23:50:46,木鱼
2021-12-18 23:50:29,华尔兹
2021-12-18 22:09:53,哈哈哈哈哈笑不活了
2021-12-18 21:22:53,阅读理解必须拿满分呐！
2021-12-18 16:52:16,翻译官都是人才
2021-12-18 12:57:26,以前半斤就是八两
2021-12-17 22:15:51,是世一辅
2021-12-17 21:56:27,官方啊
2021-12-17 21:26:38,官方整活
2021-12-17 20:39:29,‘心上人’
2021-12-17 20:03:32,语文阅读理解答案和作者原本的意思
2021-12-17 19:42:25,这么小声还想要花姑娘
2021-12-17 12:30:50,听司马懿弹棉花如观其肺腑也
2021-12-17 00:47:19,神级辅助
2021-12-16 22:21:55,最强辅助
2021-12-16 21:10:40,哇塞，这种老片真的是太经典了。
2021-12-16 19:37:57,音乐的力量
2021-12-16 16:26:52,弹幕rz可真tm多
2021-12-15 21:52:51,经典名场面
2021-12-15 20:41:19,啊对对对
2021-12-15 17:26:13,太吓人了这也
2021-12-15 17:24:03,别过去！姐姐千万别！！
2021-12-15 17:20:20,哈哈哈哈哈哈哈哈哈哈哈哈哈嘎好尬哈哈给哈哈
2021-12-15 17:19:26,噗……咳哈哈哈哈哈哈
2021-12-15 17:17:20,？？？哈哈哈
2021-12-15 16:45:10,小弟洗耳恭听
2021-12-15 13:07:29,音   樂   の   魅   力
2021-12-15 13:04:31,《   音   樂   の   力   量   》
2021-12-15 13:00:34,《     木       饼     》
2021-12-15 07:33:58,笑死我了
2021-12-15 07:28:50,哈哈哈哈哈哈
2021-12-15 04:11:10,弹棉花
2021-12-14 20:13:08,多兰盾 哈哈哈哈哈
2021-12-14 20:12:18,企业级理解
2021-12-14 20:11:24,妈妈问问为什么跪着听音乐
2021-12-14 16:08:57,最强ace
2021-12-14 16:05:57,弹棉花boys
2021-12-14 16:05:11,最强辅助
2021-12-14 16:04:00,辅助预备进场
2021-12-14 16:03:02,神级辅助
2021-12-14 16:02:25,经典中译中
2021-12-14 15:20:14,真的吗
2021-12-14 15:19:13,音乐的魅力
2021-12-14 15:17:56,凡尔赛
2021-12-14 15:16:11,音乐的力量
2021-12-14 15:11:36,天籁
2021-12-14 14:28:23,六六六
2021-12-14 12:17:56,就没有我司马懿弹不出的棉花
2021-12-14 10:30:18,老幺哥儿
2021-12-14 00:41:15,哈哈哈哈哈
2021-12-13 23:08:07,7爷
2021-12-13 22:23:36,老弹?是老弹吧？
2021-12-13 21:15:59,我就觉得这个翻译太牛逼了。
2021-12-13 19:13:26,哈哈哈哈哈哈
2021-12-13 18:38:20,以前的人很少懂看文字，如果不直接说中文说日语真的听也听不懂
2021-12-13 16:00:01,音乐世家 哈哈哈哈
2021-12-13 15:49:30,翻译个寂寞
2021-12-13 10:24:28,惊为天人
2021-12-13 01:08:44,阴乐家
2021-12-13 00:55:51,老幺哥～
2021-12-12 22:38:01,《音乐的力量》
2021-12-12 19:14:39,网易:？？？？
2021-12-12 18:48:54,同声乱译
2021-12-12 17:50:28,唯一一个专业人士
2021-12-12 17:50:02,三个人里最专业的↓                      
2021-12-12 15:59:47,啊~速吧拉稀
2021-12-12 14:57:38,《音乐的力量》
2021-12-12 13:45:13,杀！！！
2021-12-12 12:15:39,平身
2021-12-12 10:11:21,giao哥
2021-12-12 08:46:16,鬼子
2021-12-12 03:22:33,小胡子真的是太牛了
2021-12-12 01:57:51,呦西
2021-12-11 23:25:08,谭棉花。
2021-12-11 22:41:00,卧槽哈哈哈哈
2021-12-11 22:12:38,醒醒啊，你是国社，是官媒啊啊啊
2021-12-11 19:17:12,三德子
2021-12-11 17:55:11,愿你无危险无敌意无身体的痛苦无精神的痛苦健康快乐
2021-12-11 16:51:32,史上最强辅助
2021-12-11 13:23:32,这个太上头了，一遍就会
2021-12-11 13:14:38,俺们说调板
2021-12-11 11:20:33,音乐家~~~~~
2021-12-10 21:34:46,扑进怀抱
2021-12-10 21:33:25,太麻烦
2021-12-10 21:01:27,言出法随
2021-12-10 18:51:26,《老幺，弹吧，我想唱歌》
2021-12-10 16:35:05,？？？？？
2021-12-10 12:34:03,致命节奏
2021-12-10 12:29:00,放克
2021-12-10 10:07:39,《姑娘降临到我身边》
2021-12-10 09:52:37,滚开啊(*￣m￣)
2021-12-10 09:50:02,弹你的狗头.jpg
2021-12-10 09:48:33,和声nb
2021-12-10 09:47:53,小李子！
2021-12-10 06:52:17,音乐的力量
2021-12-10 01:06:33,那时候很喜欢这部电影
2021-12-09 22:44:07,《无事发生》
2021-12-09 21:29:09,《新华社》
2021-12-09 16:50:26,弹
2021-12-09 16:46:52,网易云:对对对
2021-12-09 16:20:21,不是政治：开始小说：周天子
2021-12-09 14:10:22,最强freestyle
2021-12-09 11:31:28,投入的唱
2021-12-09 11:29:45,小鬼子就得邱小姐炸
2021-12-09 11:29:10,？？？？？？？中译中
2021-12-08 23:42:06,爱了
2021-12-08 23:42:06,不科学，半斤怎么弹出八两八呢？
2021-12-08 23:40:49,赞了
2021-12-08 23:29:30,我又回来了
2021-12-08 23:22:49,你的最强辅助已上线
2021-12-08 22:53:36,即兴演唱
2021-12-08 21:15:33,《鬼   子》
2021-12-08 20:33:01,学校艺术节新节目
2021-12-08 20:30:11,好好玩啊哈哈哈哈
2021-12-08 18:39:30,《花姑娘》
2021-12-08 18:34:29,禁忌三重唱
2021-12-08 18:18:13,最强助攻上线
2021-12-08 15:51:46,鬼在唱歌
2021-12-08 15:51:33,卧槽吓死人
2021-12-08 15:51:17,快跑
2021-12-08 15:51:03,这个画面很可怕
2021-12-08 15:49:57,笑不出来了
2021-12-08 15:49:36,越听越生气
2021-12-08 15:47:21,好好听
2021-12-08 15:46:59,大佬辅助
2021-12-08 15:46:39,这接的神了
2021-12-08 15:45:25,说真的这首歌真的好听
2021-12-08 13:48:57,辅助MVP
2021-12-08 03:13:15,我帮你
2021-12-08 00:24:56,撅了
2021-12-08 00:22:44,笑拉了
2021-12-07 19:44:50,我还以为我们学校上课铃响了
2021-12-07 19:08:21,集体魔怔
2021-12-07 19:08:05,自圆其说
2021-12-07 19:07:51,自圆其说
2021-12-07 17:36:10,大声密谋
2021-12-07 17:04:28,三人行必有我师焉
2021-12-07 17:03:32,三人行必有我师焉
2021-12-07 16:55:42,那是压平棉絮的
2021-12-07 15:32:37,动粗了
2021-12-06 22:01:20,hhhhh
2021-12-06 20:38:51,斯国一
2021-12-06 20:15:25,佩服二鬼子的解说
2021-12-06 20:04:04,辅助杀疯了
2021-12-06 16:26:48,边唱边哭属于是
2021-12-06 16:11:06,刘亦菲喜欢弹棉花的
2021-12-06 13:54:32,血压起来了
2021-12-06 09:54:02,哈哈哈哈哈哈哈哈
2021-12-06 08:55:25,没有花姑娘 只有花机枪
2021-12-05 17:28:12,谭眠花
2021-12-05 15:56:33,四三拍的嘛？
2021-12-05 14:46:13,当代学生写语文阅读理解现状
2021-12-05 12:46:06,哈哈哈哈哈哈哈哈
2021-12-05 12:45:36,哈哈哈哈哈哈哈哈
2021-12-05 12:08:31,被别的汉奸识破就死定了
2021-12-05 10:13:46,老幺哥
2021-12-05 01:52:32,这不是高力士吗2333
2021-12-05 00:00:05,大大的邱小姐
2021-12-04 23:57:40,太有魅力
2021-12-04 23:50:06,七爷!
2021-12-04 23:42:12,阅读理解满分大佬↓
2021-12-04 23:41:25,绝了哈哈哈哈
2021-12-04 23:39:16,敬仰逼王
2021-12-04 23:38:59,哈哈哈哈
2021-12-04 23:38:06,下面大家请欣赏语言的艺术！哈哈哈
2021-12-04 23:36:47,开始阅读理解
2021-12-04 23:35:04,最强辅助开始带领
2021-12-04 23:33:48,翻译很强
2021-12-04 23:32:49,辅助开始C了。带着输出疯狂收割
2021-12-04 23:32:01,辅助开始C了
2021-12-04 23:24:00,多蓝盾
2021-12-04 21:39:04,提着锄头的花姑娘(doge)
2021-12-04 21:30:20,哈哈哈哈哈哈哈哈
2021-12-04 21:28:05,哈哈哈哈哈哈哈哈哈哈哈
2021-12-04 21:24:45,哈哈哈哈哈哈哈哈
2021-12-04 21:23:51,哈哈哈哈哈哈哈哈
2021-12-04 19:06:43,鬼子：我不理解，但大受震撼
2021-12-04 19:03:14,跑调也不怕，就说是合声
2021-12-04 18:54:53,好可怕
2021-12-04 11:54:13,招核男儿
2021-12-04 07:19:04,哈哈哈
2021-12-04 02:20:27,【这是“亮相”】
2021-12-03 23:29:26,女巨人
2021-12-03 20:36:16,哈哈哈哈哈哈哈
2021-12-03 19:12:05,太尉是否想起诸葛孔明当年在西城城头那一曲
2021-12-03 18:21:44,没有字幕，为了体现这种翻译的反差感，用中文代替日文，老百姓知道鬼子说的是日文，现代人不懂。
2021-12-03 18:02:49,死啦死啦地
2021-12-03 07:06:04,giao
2021-12-03 00:12:37,包吃的用的
2021-12-03 00:07:17,进入人群是这样的
2021-12-03 00:02:13,还是说说出来自己变中文让大家都听懂
2021-12-03 00:01:51,他只会说不会听么
2021-12-02 23:47:22,翻译鬼才
2021-12-02 23:46:02,温柔一点
2021-12-02 23:44:12,谭警官听不见！
2021-12-02 23:43:44,谭棉花！
2021-12-02 23:42:07,正片开始
2021-12-02 18:58:12,41个人好啊
2021-12-02 16:51:37,试衣服
2021-12-02 15:54:27,一个敢翻，一个敢信
2021-12-02 14:53:01,哈哈哈哈哈
2021-12-02 14:49:22,哈哈哈哈
2021-12-01 22:55:50,起夜级理解啊
2021-12-01 22:55:31,磨   剪     子    嘞       戗  菜   刀
2021-12-01 22:54:49,磨剪子嘞，戗菜刀
2021-12-01 20:01:54,前面的半斤八两，多出了0.8还被你骂黑心，你太贪心
2021-12-01 18:53:37,笑死我了
2021-12-01 18:05:38,技能CD好了
2021-12-01 16:47:49,哈哈哈哈哈哈哈哈啊哈哈  要笑死了
2021-12-01 16:44:00,这个是黄宏？
2021-12-01 13:02:41,长  歌  门  校  歌
2021-12-01 10:12:30,别再说中文翻译中文了 小学时候上艺术鉴赏课老师就讲过了 大概就是一种艺术形式 天天刷烂梗是真的烦
2021-11-30 22:47:56,辅助杀疯了
2021-11-30 22:45:26,辅助乱杀了
2021-11-30 22:42:51,公公
2021-11-30 22:41:32,弹幕护体
2021-11-30 20:39:29,《我带你》
2021-11-30 18:43:41,《最强辅助来也！》
2021-11-30 15:24:17,人才
2021-11-30 13:15:09,主要太名场面了，后面看司马懿都是弹棉花
2021-11-30 04:14:29,花姑凉队
2021-11-30 04:07:00,听不见
2021-11-29 21:04:49,震惊鬼子一整天
2021-11-29 20:34:47,这日本军官挺帅的
2021-11-29 20:32:05,毛子
2021-11-29 19:57:25,这个故事告诉我们，能歌善舞的都是被逼的，所以印度....而我们不擅长说明祖先牛皮，坐这欣赏那批
2021-11-29 13:51:58,最强辅助
2021-11-29 12:04:32,高太尉
2021-11-29 00:47:43,震惊鬼子一整年
2021-11-28 23:15:59,哈哈哈哈哈啊哈哈哈哈哈哈哈哈哈
2021-11-28 22:32:06,老祖宗跟诸葛亮学的弹琴，懂？
2021-11-28 17:51:32,这中文挺标准啊
2021-11-28 11:52:05,笑死了
2021-11-28 01:44:36,1
2021-11-27 22:18:30,喀 秋 莎
2021-11-27 19:47:34,痛苦面具
2021-11-27 19:47:18,凡尔赛哈哈哈哈哈
2021-11-27 19:46:45,鬼才改变
2021-11-27 18:43:10,那个时候没几个认字的，放字幕人们看不懂，只能这样来拍
2021-11-27 11:12:45,全体大聪明
2021-11-27 09:48:04,耳机在震动，牛批！
2021-11-27 02:35:00,这不就是电信诈骗的套路么
2021-11-27 01:02:03,真花姑娘
2021-11-27 00:53:52,企业级理解
2021-11-27 00:51:59,哈哈哈
2021-11-26 21:53:03,田亮！田亮！
2021-11-26 21:52:40,田亮来了
2021-11-26 21:52:06,田亮马上出现
2021-11-26 16:48:49,你翻译了个寂寞
2021-11-26 15:27:00,这批日军是搜捕美军飞行员的，老幺他们救下来那批飞行员，这里是为了牵制这些日军赶鸭子上架
2021-11-26 02:10:25,弹着弹着富贵他媳妇来了
2021-11-25 23:19:59,三德子
2021-11-25 21:24:39,山川异域！不共戴天！
2021-11-25 20:38:33,《横 扫 千 军 》
2021-11-24 19:28:38,国语翻国语翻译了个寂寞
2021-11-24 02:40:18,我要学这个
2021-11-24 01:01:57,什么解说啊
2021-11-24 00:38:40,小时候朦胧的记忆。
2021-11-23 16:15:36,哭了
2021-11-23 15:39:22,三味线
2021-11-23 09:41:01,最强奶妈——说书大哥
2021-11-22 23:11:06,辅核
2021-11-22 15:10:40,苦中作乐是真的好美好！
2021-11-21 22:59:04,辅助之神
2021-11-21 22:58:15,哈哈哈哈哈
2021-11-21 22:55:08,来了来了
2021-11-21 20:17:06,笑容逐渐消失
2021-11-21 19:31:29,就像现在日漫里面全世界说日语一样，当时文盲多，照顾农民，所以都是中文
2021-11-21 17:17:04,翻译了寂寞
2021-11-21 17:16:52,哈哈哈哈哈
2021-11-21 15:34:55,TMHboys
2021-11-21 15:04:01,流着眼泪看完
2021-11-21 15:03:32,哭了
2021-11-21 15:02:56,泪目
2021-11-21 15:02:26,83年的我听哭了
2021-11-21 15:02:00,泪流满面
2021-11-21 15:01:31,笑着笑着就哭了。。
2021-11-21 15:00:29,你们笑我却哭了
2021-11-21 15:00:06,笑着笑着就哭了
2021-11-21 13:33:25,三 幻 神
2021-11-21 02:54:00,《我 们 仨》
2021-11-21 02:03:04,这帮龟孙子真
2021-11-20 22:43:53,老抗日电影讽刺鬼子愚蠢的艺术手法相当厉害，老少皆宜
2021-11-20 20:13:55,以下内容要求全文背诵
2021-11-20 19:35:02,君の汉语本当上手
2021-11-20 10:47:30,红红火火恍恍惚惚
2021-11-20 02:36:30,锵菜刀！
2021-11-19 23:11:50,跪坐
2021-11-19 20:59:34,十二月哭亲娘
2021-11-19 08:50:28,由喜转悲吧有点
2021-11-18 20:20:09,手机震动了
2021-11-18 20:17:44,哎
2021-11-18 20:16:48,。。。。。。
2021-11-18 13:28:48,哈哈哈哈
2021-11-18 13:27:58,好家伙
2021-11-18 13:23:41,顶级理解
2021-11-18 13:22:46,好
2021-11-18 04:29:42,说书的属于专业对口
2021-11-17 20:55:16,父亲快看，司马懿
2021-11-17 20:55:05,喵啊，喵啊
2021-11-17 20:53:04,跑啊！！！不要过去
2021-11-17 20:47:29,记得那年是九一八
2021-11-17 20:45:37,赶走了鬼子，姑娘好出嫁
2021-11-17 20:43:23,赶走了鬼子姑娘好出嫁！
2021-11-17 20:39:31,不要去啊
2021-11-17 18:47:09,阴乐家
2021-11-17 14:37:34,最强辅助出场
2021-11-17 13:39:58,正片开始
2021-11-17 13:37:29,神辅助上线
2021-11-17 10:21:59,经典永流传
2021-11-17 10:08:12,真的像一群鬼一样
2021-11-17 09:16:35,早期影视剧日本扮演者都说中文
2021-11-17 09:10:50,神辅助
2021-11-17 09:03:14,说翻译的，你把日本说的当成日语就行了！
2021-11-17 08:09:20,哈哈哈哈
2021-11-16 17:35:09,我记得是女子防身术
2021-11-16 14:20:29,喀秋莎给你来几发哈哈哈哈哈哈哈哈救命
2021-11-16 14:16:01,这就是辅核！
2021-11-16 14:15:52,顶级辅助
2021-11-16 13:21:19,我想手撕鬼子
2021-11-16 11:55:50,妙啊
2021-11-15 22:09:26,战忽局同志的工作，做的太好了
2021-11-15 22:06:16,呼叫战忽局同志
2021-11-15 21:12:00,金牌辅助
2021-11-15 19:50:32,九宝琉璃塔最强辅助
2021-11-15 19:48:07,神级助攻
2021-11-15 19:16:14,《花姑娘由来》
2021-11-15 19:13:37,m  a  d  l  i  f  e
2021-11-15 17:59:37,《巧奔妙逃》论戏剧性不如《绝境逢生》，但这首歌绝对生生把电影太高一个档次。
2021-11-15 17:31:36,最强辅助
2021-11-15 17:28:51,最强辅助上线
2021-11-15 16:37:56,哈哈哈
2021-11-15 00:10:06,鬼子演员就是导演
2021-11-14 21:37:01,挖槽好恐怖
2021-11-14 20:57:25,官方玩梗
2021-11-14 18:41:08,演技好好
2021-11-14 09:48:16,红字说1995年国内都是文盲，XS
2021-11-14 09:26:36,就算半斤八两还多了0.8两怎么肥事！！！莫不是直接能量转质量了？！！
2021-11-13 19:02:01,红红火火恍恍惚惚
2021-11-13 16:53:52,弹你的［doge］
2021-11-13 15:37:10,空擦擦空擦擦
2021-11-13 11:26:33,我的心却在痛
2021-11-13 00:02:21,最强辅助上线
2021-11-12 21:38:06,《未成曲调先有情》
2021-11-12 19:45:35,杀人不眨眼？那眼睛干不干
2021-11-12 14:42:52,妙 啊
2021-11-12 14:41:52,天降阿英
2021-11-12 14:41:37,？？？？
2021-11-12 14:39:11,斯巴拉西
2021-11-12 14:37:49,好听
2021-11-12 13:03:48,哈哈哈哈哈哈哈哈托
2021-11-12 13:02:20,傳統文化課
2021-11-12 13:01:02,司馬懿三父子
2021-11-12 13:00:48,司馬懿父子三吃曹
2021-11-12 12:58:56,神隊友啊
2021-11-12 12:57:59,最強助攻王者
2021-11-12 12:51:54,神级翻译
2021-11-11 16:33:47,那时候你敢放日文怕不是找抽。就当他说的是日文不就行了
2021-11-11 16:23:11,如果没有你们，这可能就是当时中国普通小姑娘的生活吧。
2021-11-11 13:48:45,出道吧！！球球了
2021-11-11 09:50:20,最好听的歌曲
2021-11-11 09:49:42,都是天涯沦落人
2021-11-11 09:45:27,有没有版权？！！
2021-11-11 07:44:58,半斤不是五两吗，棉花咋还越谈越多呢？
2021-11-11 00:50:22,？
2021-11-11 00:50:17,？
2021-11-10 22:48:18,和平演变
2021-11-10 11:08:24,咋滴还跳起来呢
2021-11-10 10:29:49,琴女杀疯了
2021-11-10 10:29:07,琴女全场MVP
2021-11-10 00:45:57,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2021-11-09 21:26:08,刷翻译的都是傻子吗
2021-11-09 19:56:24,太震撼了
2021-11-09 18:13:31,这里好恐怖
2021-11-09 18:08:28,主c
2021-11-09 11:38:18,最强辅助
2021-11-09 07:04:31,弹一闪，弹百闪，杀…
2021-11-09 00:47:39,这个姑娘太蠢了
2021-11-09 00:41:56,最强辅助
2021-11-09 00:24:50,字正腔圆
2021-11-09 00:22:59,逐渐自信
2021-11-09 00:21:58,金牌辅助
2021-11-08 23:58:04,这表情转换哈哈
2021-11-08 23:57:36,还凹造型哈哈哈哈哈
2021-11-08 19:38:56,？
2021-11-08 19:13:17,鬼子：妈妈问我为什么要跪着听音乐
2021-11-08 18:42:57,哭了
2021-11-08 13:23:11,adc正准备硬着头皮上，突然带着大帽子法强1200的辅助小法师站了出来
2021-11-08 11:00:31,古时候有一段时间，半斤就是八两
2021-11-08 10:59:46,辅助是地下党呀
2021-11-08 01:52:08,这翻译！！！
2021-11-08 00:09:27,企业级翻译
2021-11-07 22:12:51,我爷爷读过几年私塾，我奶奶文盲是真的
2021-11-07 21:48:32,神秘的东方力量
2021-11-07 21:44:40,逐渐自信
2021-11-07 19:38:24,000
2021-11-07 19:37:34,000
2021-11-07 19:37:30,000
2021-11-07 11:32:02,轰冻泥？！
2021-11-06 21:58:29,春风为楚
2021-11-06 19:13:00,了解。
2021-11-06 19:12:21,はい。
2021-11-06 19:09:06,前方高能预警
2021-11-06 16:59:44,峨眉电影的
2021-11-06 15:31:48,笑死
2021-11-06 14:31:53,两倍速带感！！
2021-11-06 11:01:50,等！ 灯！
2021-11-06 10:41:04,高太尉你怎么开始弹棉花了
2021-11-05 23:24:48,上头
2021-11-05 21:49:13,6666666
2021-11-05 19:39:01,辅助杀爆全场
2021-11-05 19:15:12,哈依！
2021-11-04 23:08:00,阅读理解满分
2021-11-04 21:49:19,网易云哈
2021-11-04 16:10:00,亚撒西滴干活～
2021-11-04 02:29:09,神秘的东方力量
2021-03-25 11:52:33,他们根本不在乎你到底吃了几碗粉
2021-03-25 15:04:42,民族和国家利益高于一切！
2021-03-25 12:04:07,原来是这样印上去的！
2021-03-25 12:15:02,李宁或成最大赢家
2021-03-25 11:15:26,全国人民换床新被子的时候到了
2021-03-25 19:34:20,恭喜耐克提前在中国过清明
2021-03-25 13:52:27,外国人想象力到底有多贫乏，他们搞种植园黑叔叔搞棉花扣帽子给我们也是棉花
2021-03-25 12:38:27,机器人的命也是命（
2021-03-25 12:02:00,缺人吗？我到采收季叫上我。。
2021-03-25 11:49:58,以前的七一棉纺织厂相当有名的
2021-03-26 21:56:55,棉花：被压迫的其实是我，你看我压的紧实不？
2021-03-25 11:41:22,淘宝单独搜“H”或“M”依然可以搜到
2021-03-25 08:56:05,淘宝搜“h和m”“h”试试，淘宝真有你的
2021-03-25 13:19:25,不能在跪了，他们低估了我们
2021-03-25 11:42:11,事关国家主权，绝无回旋余地
2021-03-26 18:51:03,气氛突然西域了起来
2021-03-25 20:18:54,想让世界意识到，我们对他们产品只是用，而不是必须用!!!!
2021-03-25 13:06:18,我们忍了这么久搞发展，真以为我们怂呢？！
2021-03-25 15:41:56,强大工业和科技是国防现代化的保障
2021-03-25 13:03:56,李宁：嘻嘻嘻，我可以卖的更贵了
2021-03-25 11:54:08,一个都不放过，全部关掉笑死李宁安踏回力
2022-03-18 12:06:52,新疆的室友亚克西
2021-03-27 00:23:04,住宿声音一脸懵壁
2021-03-25 17:02:51,看着就想薅一把
2021-03-25 17:00:24,可可爱爱
2021-03-25 15:41:42,发展自主工业，掌握核心科技
2021-03-25 14:31:52,这波，西方脸都被打没了
2021-03-25 12:30:10,淘宝搜“h和m”“h”试试，淘宝真有你的
2021-03-25 12:11:39,这视频转发动态显示仅自己可见
2021-03-25 22:35:13,ljnk
2021-03-25 18:34:17,这个爪爪机好可爱！！！！
2021-03-25 16:00:57,官方整活
2021-03-25 14:11:36,耐克:我抵制
2021-03-25 13:50:20,从小就盖着棉花被，说实话，真舒服，冬天超暖和
2021-03-25 12:43:00,整顿娱乐圈
2021-03-25 12:37:51,原来西方国际品牌缺机器，想碰瓷我们
2021-04-03 15:22:31,《梦回解放后初期》
2021-03-27 10:57:21,好干净啊，这些棉花
2021-03-26 20:50:50,阿迪达斯给我死！！！
2021-03-25 23:23:55,给我上去
2021-03-25 22:20:07,人民万岁
2021-03-25 21:00:26,买被子买被子
2021-03-25 14:55:59,压榨汽车人哈哈哈哈哈哈哈哈哈
2021-03-25 14:51:27,我挖地虎表示强烈谴责，为什么不带上另外六个/doge
2021-03-25 14:14:48,可怜的塞伯坦星人
2021-03-25 12:51:43,HM质量差劲，版型还是欧版（不适合亚洲人体型）
2021-03-25 12:11:14,公开处刑
2021-03-25 12:02:41,请大家支持国货！
2021-03-25 11:36:05,绝无回旋余地
2021-03-25 07:44:14,又到了穿李宁的大好日子了 冲冲冲冲冲
2021-03-28 23:59:07,童年连队时的广播经常放，突然好怀念
2021-03-27 08:53:33,嗨！我的被！
2021-03-26 23:28:33,支持国货！耐克爬！
2021-03-26 15:46:14,音乐老师表示：职业病，这太适合给学生学民族歌曲拓展啊！录了！
2021-03-26 12:44:00,它掉了!快捏住!
2021-03-26 00:44:49,还挺好听的
2021-03-25 22:31:26,种植历史悠久 光热条件优异 水汽丰富 地广人稀 种植面积大
2021-03-25 21:14:21,地理书上的优质长绒棉
2021-03-25 21:09:34,好软www想一头扎到棉花堆里
2021-03-25 21:03:43,他们就是想污蔑我们欲加之罪何患无辞
2021-03-25 19:50:02,这棉花地看得我腰疼
2021-03-25 18:33:49,我不懂，我们引以为傲的为啥要遭受你们的玷污！
2021-03-25 17:31:51,那么问题来了，一千克棉花和一千克铁谁更重？
2021-03-25 17:10:09,看起来好好吃（bushi）
2021-03-25 16:11:15,国潮反击时刻
2021-03-25 16:08:56,《弹棉花》走起！！
2021-03-25 16:02:49,从此中国再无安迪耐克
2021-03-25 14:10:04,好上头的音乐
2021-03-25 13:37:24,诶嘿，越听越上瘾
2021-03-25 13:00:47,机器人的觉醒
2021-03-25 12:44:06,国人不要失去记忆啊
2021-03-25 12:36:07,哇，云朵掉到地上来了。
2021-03-25 12:23:08,爱我中华！！！
2021-03-25 12:22:10,夺笋呐，不过我喜欢
2021-03-25 11:58:57,名牌奢饰品不是必需品
2021-03-25 11:50:48,这棉花真不错
2021-03-25 11:47:12,文艺复兴的bgm
2021-03-25 08:37:12,这歌真的不错 亚克西
2021-03-28 09:56:21,耐克过清明啦！
2021-03-26 23:43:47,新华社从来不让人失望[网易王三三_爱了爱了]​
2021-03-26 21:37:20,可可爱爱
2021-03-26 20:48:45,榴莲毛巾卷
2021-03-26 19:43:37,哈哈哈哈哈哈
2021-03-26 14:19:53,躺在这上面可暖和了
2021-03-26 13:30:06,耐克以后我再也不买你的东西了去年你们的鞋是最后一次反正也坏了扔了
2021-03-25 23:36:17,亚克西
2021-03-25 23:10:14,兄弟姐妹们，该换鞋的要趁早，国货们要涨价了，哈哈哈哈
2021-03-25 22:54:38,太棒了
2021-03-25 22:27:08,人民利益至上，国家利益高于一切！
2021-03-25 22:21:52,可可爱爱！
2021-03-25 22:03:50,我好想躺里睡一觉
2021-03-25 21:40:44,好家伙，代入感很强，我已经开始热了
2021-03-25 21:18:10,原来这样印上去哒？！！涨知识了
2021-03-25 21:05:27,哈哈哈哈哈哈
2021-03-25 19:57:04,哈哈哈
2021-03-25 18:51:53,长绒棉
2021-03-25 17:46:34,亚克西！！！！
2021-03-25 16:53:30,换被子换被子
2021-03-25 16:05:50,鼻子已经开始痒了
2021-03-25 15:59:20,把歌甩到那些人的脸上
2021-03-25 15:52:40,卧槽，bgm有那味了
2021-03-25 15:42:21,发展自主工业，掌握核心科技
2021-03-25 15:08:47,祖国哪里都好！
2021-03-25 14:53:18,啊啊啊啊啊好舒服的样子
2021-03-25 14:42:55,白绒绒胖乎乎滴棉花！
2021-03-25 14:37:36,笑死我了
2021-03-25 14:33:34,弹棉花嘞
2021-03-25 14:22:19,大棉被做起来！咱自己还不够用呢
2021-03-25 14:18:07,哈哈哈哈哈
2021-03-25 13:30:26,这味好冲，哈哈
2021-03-25 13:21:09,哈哈哈哈哈哈
2021-03-25 13:08:50,这个BGM，喜庆
2021-03-25 12:59:13,好家伙 竞有主题曲？
2021-03-25 12:55:18,太喜欢这个歌啦
2021-03-25 12:51:13,棉花原来是树上长的
2021-03-25 12:43:37,国人不要失去记忆就好
2021-03-25 12:43:18,中国不容挑衅
2021-03-25 12:39:47,亚克西是好的意思
2021-03-25 12:32:15,想欺负我们，大人时代变了（食大便了）
2021-03-25 12:27:16,弹棉花嘞~，弹棉花～~。半斤棉弹成八两八哟，旧棉花弹成新棉花
2021-03-25 12:26:29,五分之一的人消费五分之一棉花 
2021-03-25 12:20:17,啥时候把耐克也搞熄火呀
2021-03-25 12:20:16,这个bgm爱了爱了
2021-03-25 12:20:01,这歌上头
2021-03-25 12:11:29,唱起来！！！！
2021-03-25 12:11:14,白花花
2021-03-25 12:01:40,真的就像雪花一样！
2021-03-25 11:50:34,这点棉花，自己家一家一双被子就完成任务。
2021-03-25 11:47:16,哈哈哈 有意思
2021-03-25 11:43:35,这歌声让我回忆起了童年
2021-03-25 11:38:48,洁白如雪
2021-03-25 09:31:13,他们根本不关心你肚子里有几碗粉 他们关心的是刀捅进你肚子了没
